Data	Iso Gantry	Iso Colimador	Iso Gantry e Colimador	Iso Mesa	G0C0T0	G90C0T0	G180C0T0	G0C270T0	G270C0T0	G0C90T0	G0C0T270	G0C0T90
2019-12-20	1.165	1.165	1.811	1.227	-0.580	-0.890	0.585	-1.086	0.713	-1.227	-0.813	-1.157
2019-12-23	1.210	1.210	1.591	1.218	-0.725	-0.270	0.485	-1.093	0.056	-1.075	-1.106	-0.929
2019-12-24	1.392	1.392	1.674	1.386	-0.770	-0.586	0.610	-1.014	0.403	-1.063	-0.733	-1.104
2019-12-26	1.200	1.200	1.492	1.079	-1.103	-0.640	-0.288	-1.335	-0.582	-1.398	-1.448	-0.702
2019-12-30	1.257	1.257	1.609	0.713	-0.931	-0.460	0.307	-1.271	-0.249	-1.277	-0.839	-0.730
2020-01-02	1.161	1.161	1.381	1.470	-0.599	-0.402	0.534	-0.779	0.145	-0.847	-0.842	-1.153
2020-01-06	1.191	1.191	1.676	0.243	-0.712	-0.356	0.477	-1.193	0.353	-1.131	0.000	-0.955
2020-01-07	1.114	1.114	1.368	0.644	-1.061	-0.669	0.392	-1.229	-0.338	-1.324	0.000	-0.570
2020-01-08	1.210	1.210	1.408	1.226	-0.830	-0.715	0.363	-0.807	0.413	-1.020	-0.673	-1.078
2020-01-09	1.272	1.272	1.453	1.203	-0.655	-0.508	0.606	-0.814	0.356	-0.847	-1.287	-0.908
2020-01-10	1.508	1.508	1.711	1.452	-0.903	-0.852	0.595	-1.015	0.644	-1.116	-1.390	-0.992
2020-01-13	1.189	1.189	1.406	0.812	-0.907	-0.480	0.475	-1.102	-0.367	-1.106	-0.724	-1.223
2020-01-14	1.136	1.136	1.588	0.958	-0.792	-0.555	0.328	-1.234	-0.358	-1.134	-1.158	-1.111
2020-01-15	1.177	1.177	1.413	1.220	-0.845	-0.571	0.297	-1.107	0.152	-1.111	-1.027	-1.001
2020-01-16	1.194	1.194	1.523	0.486	-1.053	-0.622	0.309	-1.351	-0.386	-1.411	-0.733	-1.004
2020-01-17	1.446	1.446	1.419	2.289	1.078	0.595	-1.444	-1.027	-0.995	-0.822	-0.675	-1.190
2020-01-20	1.286	1.286	1.693	1.655	-0.525	-0.370	0.729	-0.909	-0.085	-0.960	-1.592	-1.223
2020-01-22	1.342	1.342	1.639	1.393	-0.759	-0.617	0.526	-1.029	0.140	-1.078	-0.580	-1.180
2020-01-23	1.208	1.208	1.788	0.919	-1.146	-0.727	-0.300	-1.640	-0.672	-1.762	-1.296	-0.680
2020-01-27	1.603	1.603	1.794	1.263	-0.804	-0.723	0.650	-1.035	-0.166	-1.096	-0.907	-1.444
2020-01-29	1.317	1.317	1.461	1.212	-0.929	-1.223	0.236	-1.122	0.424	-1.091	-1.036	-1.413
2020-02-12	1.333	1.333	1.544	1.127	-1.043	-0.730	-0.177	-1.178	-0.294	-1.240	-1.123	-1.351
2020-02-14	1.386	1.386	1.402	1.505	-0.958	-0.944	0.332	-0.965	0.379	-0.930	-0.692	-1.508
2020-02-17	1.350	1.350	1.579	1.216	-0.576	-0.745	0.574	-0.882	-0.077	-0.779	-0.759	-1.296
2020-03-02	1.212	1.212	1.559	1.091	-0.593	-1.172	0.542	-0.899	0.559	-0.919	-0.698	-1.325
2020-03-03	1.243	1.243	1.604	1.568	-0.532	-0.910	0.571	-0.815	0.195	-0.870	-1.085	-1.561
2020-03-04	1.335	1.335	1.968	0.743	-0.756	-0.873	0.478	-1.350	-0.271	-1.400	-0.795	-1.154
2020-03-05	1.139	1.139	1.794	0.638	-0.996	-0.740	0.155	-1.386	-0.559	-1.538	-0.648	-0.955
2020-03-06	1.137	1.137	1.429	1.192	-0.999	-1.235	0.115	-1.063	0.416	-1.179	-1.152	-1.319
2020-03-11	1.248	1.248	1.248	1.959	-0.887	-0.416	0.360	-0.742	-0.285	-0.818	-1.385	-1.556
2020-03-12	1.194	1.194	1.376	1.290	-0.878	-0.709	0.316	-0.988	0.149	-1.056	-1.168	-1.111
2020-03-13	1.202	1.202	1.314	1.173	-1.193	-0.781	0.080	-1.269	-0.402	-1.227	-0.965	-1.108
2020-03-14	0.895	0.895	1.357	0.266	-0.988	-1.056	-0.334	-1.627	-0.802	-1.614	-1.241	-0.988
2020-03-16	1.182	1.182	1.182	1.643	-0.921	-0.787	0.469	-0.919	0.175	-0.579	-0.659	-1.515
2020-03-17	1.351	1.351	1.538	1.542	-0.842	-1.123	0.336	-0.977	0.525	-0.911	-1.082	-1.655
2020-03-18	1.118	1.118	1.204	1.781	-0.802	-1.139	0.305	-0.847	0.591	-0.883	-1.290	-1.826
2020-03-19	1.213	1.213	1.577	1.516	-0.421	-1.023	0.820	-0.674	0.375	-0.647	-0.969	-1.440
2020-03-20	1.274	1.274	1.468	1.148	-0.659	-1.123	0.510	-0.807	0.478	-0.769	-1.041	-1.274
2020-03-23	1.156	1.156	1.278	1.568	-0.607	-0.996	0.544	-0.614	0.442	-0.570	-1.135	-1.371
2020-04-02	1.258	1.258	1.226	1.186	-1.064	-0.629	0.244	-1.019	-0.212	-0.932	-1.028	-1.133
2020-04-03	1.084	1.084	1.300	0.737	-1.043	-1.102	-0.120	-1.182	-0.579	-1.171	-1.602	-1.141
2020-04-06	1.210	1.210	1.210	1.496	-0.914	-0.842	0.272	-0.716	0.317	-0.725	-1.181	-1.444
2020-04-07	1.155	1.155	1.439	1.440	-0.565	-0.962	0.536	-0.762	0.403	-0.695	-1.034	-1.481
2020-04-08	1.094	1.094	1.254	1.197	-0.944	-0.888	0.130	-0.976	-0.298	-0.909	-1.281	-1.300
2020-04-13	1.114	1.114	1.486	2.092	-0.412	-0.613	0.698	-0.740	0.331	-0.747	-1.305	-1.638
2020-04-14	1.195	1.195	1.496	1.153	-0.562	-1.503	0.566	-0.808	0.816	-0.793	-0.982	-1.288
2020-04-15	1.241	1.241	1.484	1.236	-0.766	-1.258	-0.314	-1.023	0.465	-1.028	-1.140	-1.273
2020-04-16	1.358	1.358	1.668	1.400	-0.549	-1.465	0.650	-0.881	0.760	-0.765	-0.814	-1.423
2020-04-17	1.567	1.567	1.687	0.491	-0.985	-1.040	0.505	-1.110	0.466	-1.143	-1.268	-0.932
2020-04-20	1.222	1.222	1.408	1.112	-0.557	-0.961	0.623	-0.664	0.293	-0.736	-1.031	-1.122
2020-04-22	1.146	1.146	1.291	1.359	-0.767	-0.924	0.373	-0.889	0.473	-0.899	-1.427	-1.184
2020-04-23	1.073	1.073	1.428	1.481	-0.520	-1.004	0.530	-0.798	0.383	-0.846	-1.242	-1.413
2020-04-24	1.116	1.116	1.591	1.679	-0.625	-0.754	0.489	-1.049	0.021	-0.987	-1.301	-1.198
2020-04-27	1.245	1.245	1.348	1.863	-0.731	-1.417	-0.579	-0.896	0.791	-0.766	-1.469	-1.311
2020-04-28	1.123	1.123	1.468	1.590	-0.728	-0.941	0.389	-0.965	0.423	-0.886	-1.187	-1.304
2020-04-29	1.068	1.068	1.423	1.543	-0.595	-0.654	0.466	-0.916	0.155	-0.924	-1.360	-1.390
2020-05-04	1.169	1.169	1.746	1.786	-0.254	-0.732	0.856	-0.826	-0.200	-0.795	-1.189	-1.708
2020-05-05	1.213	1.213	1.578	1.109	-0.574	-0.578	0.614	-0.840	-0.133	-0.861	-0.889	-1.376
2020-05-06	1.221	1.221	1.475	1.720	-0.420	-0.778	0.600	-0.687	0.063	-0.800	-1.363	-1.568
2020-05-07	1.245	1.245	1.370	1.525	-0.589	-1.365	0.538	-0.754	0.623	-0.740	-0.954	-1.372
2020-05-12	1.211	1.211	1.639	1.728	-0.315	-1.089	0.770	-0.795	0.368	-0.720	-1.125	-1.585
2020-05-13	1.275	1.275	1.561	0.981	-0.653	-1.201	0.461	-1.019	0.510	-1.068	-1.033	-1.135
2020-05-14	1.377	1.377	1.388	1.106	-1.060	-1.194	0.429	-0.844	0.602	-0.884	-0.646	-1.269
2020-05-18	1.449	1.449	1.449	1.652	-0.558	-1.935	0.724	-0.554	1.149	-0.416	-1.102	-1.581
2020-05-19	1.219	1.219	1.306	1.747	-0.437	-0.307	0.664	-0.628	0.373	-0.546	-1.163	-1.572
2020-05-20	1.200	1.200	1.414	1.683	-0.446	-0.110	0.636	-0.605	-0.640	-0.665	-1.096	-1.620
